,fun,serious,source
1431,cnn releases photos of 3 obese mexican women suspected in boston bombing,cnn releases photos of 3 obese mexican women suspected in boston bombingasd,unfunme
1432,yankees disabled list absolutely stacked,hjghgh,unfunme
1433,yankees disabled list absolutely stacked,yankees disabled list,unfunme
1434,"game going to come down to end, analyst predicts","game going to come down to defense, analyst predicts",unfunme
1435,"game going to come down to end, analyst predicts","game going to come down to last quarter, analyst predicts",unfunme
1436,"game going to come down to end, analyst predicts","game will be decided at the end, analyst predicts",unfunme
1437,man does good job getting drunk,man does good job getting drunk people home,unfunme
1438,jerry lewis undergoes emergency gefloigel surgery,jerry lewis undergoes emergency surgery,unfunme
1439,mentally unstable man to exhibit 1 or 2 more warning signs before finally doing this,mentally unstable man to exhibit 1 or 2 more warning signs before finally doing it,unfunme
1440,this has to be year local miniature golf course finally goes out of business,this has to be the year local miniature golf course finally goes out of business,unfunme
1441,"skill difference between top, bottom high school tennis seeds hilarious","skill difference between top, bottom high school students in tennis",unfunme
1442,"skill difference between top, bottom high school tennis seeds hilarious",best tennis players suck in school,unfunme
1443,24-year-old receives sage counsel from venerable 27-year-old,sage 24-year-old receives 27-year-old from counsel,unfunme
1444,24-year-old receives sage counsel from venerable 27-year-old,64-year-old receives sage counsel from 7-year-old,unfunme
1445,24-year-old receives sage counsel from venerable 27-year-old,word from the wise; age is not important as you think,unfunme
1446,24-year-old receives sage counsel from venerable 27-year-old,venerable sage counsel recieves 24-year-old from 27-year-old,unfunme
1447,man derives depressing amount of pride from hometown burger chain,man derives pride from hometown burger chain,unfunme
1448,man derives depressing amount of pride from hometown burger chain,man derives amount of pride from hometown burger chain,unfunme
1449,father excitedly tells 10-year-old son about new video game system,father excitedly tells 10-year-old son about new sound system,unfunme
1450,father excitedly tells 10-year-old son about new video game system,new video game system excites parents,unfunme
1451,man eating mcchicken sandwich can tell mcdonald's switched up antibiotics,yes,unfunme
1452,man eating mcchicken sandwich can tell mcdonald's switched up antibiotics,man eating mcchicken sandwich can tell mccdonald's switched off antibiotics,unfunme
1453,brian urlacher retires with plenty of injuries left in the tank,brian urlacher retires with plenty of injuries in the left tank,unfunme
1454,area man paralyzed by fear of the known,area man paralyzed by fear of the unknown,unfunme
1455,area man paralyzed by fear of the known,john white paralyzed by fear of the unknown,unfunme
1456,george w. bush having trouble finding decent cocaine since leaving white house,george w. bush complains of having trouble finding decent wine since leaving white house,unfunme
1457,really fun toy banned because of 3 stupid dead kids,fun toy banned because of 3 dead kids,unfunme
1458,really fun toy banned because of 3 stupid dead kids,toy banned becausr of 3 dead kids,unfunme
1459,tim duncan offers legal advice to wife’s divorce lawyer,tim duncan offers legal advice to wife's lawyer,unfunme
1460,tim duncan offers legal advice to wife’s divorce lawyer,frustrated tim duncan offers legal advice to wife’s divorce lawyer,unfunme
1461,tim duncan offers legal advice to wife’s divorce lawyer,tim duncan gives legal advice to wife’s divorce lawyer,unfunme
1462,"1,000 of company’s most valuable resource laid off","1,000 of company’s least valuable employees laid off",unfunme
1463,vain galápagos tortoise trying to pass for 90,more teens trying to pass for 21,unfunme
1464,asian guy has separate group of just asian friends,separate asian guy has group of just asian friends,unfunme
1465,obama administration releases nation’s phone records to public,obama administration releases wild trout to public,unfunme
1466,obama administration releases nation’s phone records to public,verizon releases phone records to public,unfunme
1467,obama administration releases nation’s phone records to public,obama administration won't release nation’s phone records to public,unfunme
1468,strange new culture forming on other end of office,strange new work culture forming on other end of atlantic,unfunme
1469,strange new culture forming on other end of office,strange new culture forming on teen-targeted websites,unfunme
1470,strange new culture forming on other end of office,strange new bioculture forming on other end of office,unfunme
1471,george r. r. martin kills off whole family,george r. r. martin kills off local pack of dogs,unfunme
1472,crowd cheers as 93-year-old fuckup finally graduates from college,crowd acclaims 93-year-old finally graduates from college,unfunme
1473,"tiger woods, nike deal includes new line of sex toys and apparel","tiger woods, nike deal includes new line of golf clubs and apparel",unfunme
1474,"tiger woods, nike deal includes new line of sex toys and apparel","tiger woods, nike deal includes new line of toys and apparel",unfunme
1475,report: waving objects behind basket has only resulted in 3 missed free throws in nba history,report: waving objects behind basket has only resulted in 2 missed free throws in nba history,unfunme
1476,report: waving objects behind basket has only resulted in 3 missed free throws in nba history,report: basketball game has resulted in 3 missed throws in nba history,unfunme
1477,study: 80% of waking hours spent plotting revenge,study: 80% of waking hours spent without memory,unfunme
1478,the onion will be euthanizing people for free this sunday,the onion will be giving away subscriptions for free this sunday,unfunme
1479,the onion will be euthanizing people for free this sunday,the onion will be distributed for free this sunday,unfunme
1480,the onion will be euthanizing people for free this sunday,the onion will be euthanizing people for a discounted price this sunday,unfunme
1481,report: 89% of americans just want to go home right now,report: 89% of americans call a city home,unfunme
1482,report: it not worth staying past fifth inning of 83% of baseball games,report: it not worth staying past fifth hotdog in 83% of baseball games,unfunme
1483,report: it not worth staying past fifth inning of 83% of baseball games,survey: not worth staying past fifth inning of 83% of baseball games,unfunme
1484,graffiti artist completes masterwork ‘still life of marijuana leaf’,graffiti artist completes masterwork ‘still life of obama’,unfunme
